name	tot_cycle	tot_energy	tot_edp	tot_dram_energy	tot_mc_energy
lenet_conv1_16	42972.57	2440850.57051	74389802837.6	71014.41595	67027.13805
lenet_fc2BP	12544.77	745558.261686	6633231854.22	6623.911522	15399.37283
lenet_fc1	1290546.21	59305889.589	5.42815539289e+13	1113156.83267	1565804.0156
lenet_conv2_4	411191.25	20910308.6363	6.09796875605e+12	132677.836064	737450.41337
lenet_conv1_8	52787.58	2683240.20022	1.00455146616e+11	68333.51179	79646.38008
lenet_conv2_8	258777.3	12789007.0656	2.34716646674e+12	132905.642534	447046.5339
lenet_conv2	563058.12	25551239.6507	1.02034276322e+13	154026.329688	904007.26726
lenet_fc2_8	87962.85	3035210.91696	1.89351633055e+11	6510.410703	74303.30766
lenet_BP	1029292.95	57969676.0147	4.23175736424e+13	1098542.61673	1474573.3108
lenet_FF_BP	1770714.66	89924327.4364	1.12929308427e+14	1388440.55702	2369344.36758
lenet_conv2_16	267713.88	10814837.6104	2.0533915874e+12	133866.680096	383961.91661
lenet_conv1BP	481818.15	17606309.7464	6.01634013499e+12	63602.109524	431451.57747
lenet_conv2BP	154788.39	6822530.47184	7.48970572668e+11	83306.09214	209444.36423
lenet_FF	750592.35	31672745.3929	1.68605109188e+13	274611.170514	900194.5663
lenet_fc1_8	349706.79	15814930.0469	3.9224031353e+12	34423.833866	294534.05484
lenet_conv2_32	954317.61	39380775.0625	2.66537355586e+13	157719.372464	999821.57076
lenet_conv2BP_2	156336.57	6814445.31413	7.55565253095e+11	83068.2250477	210429.43821
