kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_6.ptx 64 : 512 3072 0 0 0 0 0 0 0 
_3.ptx 65 : 489536 2938112 0 0 0 0 0 0 0 
_6.ptx 65 : 512 3072 0 0 0 0 0 0 0 
_3.ptx 66 : 489536 2938848 0 0 0 0 0 0 0 
_6.ptx 66 : 512 9504 0 0 0 0 0 0 0 
_3.ptx 67 : 489536 9927904 0 0 0 0 0 0 0 
_6.ptx 67 : 512 3072 0 0 0 0 0 0 0 
_3.ptx 68 : 489536 3052544 0 0 0 0 0 0 0 
_6.ptx 68 : 512 5664 0 0 0 0 0 0 0 
_3.ptx 69 : 489536 3107200 0 0 0 0 0 0 0 
_6.ptx 69 : 512 3776 0 0 0 0 0 0 0 
_3.ptx 70 : 489536 10260544 0 0 0 0 0 0 0 
_4.ptx 70 : 5120 30720 0 0 0 0 0 0 0 
_6.ptx 70 : 512 1600 0 0 0 0 0 0 0 
_3.ptx 71 : 489536 3679872 0 0 0 0 0 0 0 
_4.ptx 71 : 5120 30720 0 0 0 0 0 0 0 
_6.ptx 71 : 512 4128 0 0 0 0 0 0 0 
_3.ptx 72 : 489536 5890144 0 0 0 0 0 0 0 
_4.ptx 72 : 5120 95008 0 0 0 0 0 0 0 
_6.ptx 72 : 512 72 0 0 0 0 0 0 1 
_3.ptx 73 : 489536 3742816 0 0 0 0 0 0 0 
_4.ptx 73 : 5120 30720 0 0 0 0 0 0 0 
_6.ptx 73 : 500 3320 0 0 0 0 0 0 0 
_3.ptx 74 : 489536 5793248 0 0 0 0 0 0 0 
_4.ptx 74 : 5120 56672 0 0 0 0 0 0 0 
_6.ptx 74 : 500 6876 0 0 0 0 0 0 0 
_3.ptx 75 : 489536 3065120 0 0 0 0 0 0 0 
_4.ptx 75 : 5120 37536 0 0 0 0 0 0 0 
_6.ptx 75 : 500 3500 0 0 0 0 0 0 0 
_5.ptx 75 : 4096 24576 0 0 0 0 0 0 0 
_3.ptx 76 : 489536 2909280 0 0 0 0 0 0 0 
_4.ptx 76 : 5120 286144 128 0 0 0 0 0 0 
_6.ptx 76 : 500 7268 0 0 0 0 0 0 0 
_5.ptx 76 : 4096 24576 0 0 0 0 0 0 0 
_3.ptx 77 : 489536 4330784 0 0 0 0 0 0 0 
_4.ptx 77 : 5120 41856 0 0 0 0 0 0 0 
_6.ptx 77 : 500 3628 0 0 0 0 0 0 0 
_5.ptx 77 : 4096 76032 0 0 0 0 0 0 0 
_3.ptx 78 : 489536 3913728 0 0 0 0 0 0 0 
_4.ptx 78 : 5120 8704 0 0 0 0 0 0 0 
_6.ptx 78 : 500 1596 0 0 0 0 0 0 0 
