kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_6.ptx 64 : 512 3072 0 0 0 0 0 0 0 
_3.ptx 65 : 489536 2938240 0 0 0 0 0 0 0 
_6.ptx 65 : 512 3072 0 0 0 0 0 0 0 
_3.ptx 66 : 489536 2938944 0 0 0 0 0 0 0 
_6.ptx 66 : 512 9504 0 0 0 0 0 0 0 
_3.ptx 67 : 489536 9915808 0 0 0 0 0 0 0 
_6.ptx 67 : 512 3072 0 0 0 0 0 0 0 
_3.ptx 68 : 489536 3051168 0 0 0 0 0 0 0 
_6.ptx 68 : 512 5664 0 0 0 0 0 0 0 
_3.ptx 69 : 489536 3119424 0 0 0 0 0 0 0 
_6.ptx 69 : 512 3744 0 0 0 0 0 0 0 
_3.ptx 70 : 489536 10280576 0 0 0 0 0 0 0 
_4.ptx 70 : 5120 30720 0 0 0 0 0 0 0 
_6.ptx 70 : 512 1600 0 0 0 0 0 0 0 
_3.ptx 71 : 489536 3689696 0 0 0 0 0 0 0 
_4.ptx 71 : 5120 30720 0 0 0 0 0 0 0 
_6.ptx 71 : 512 4160 0 0 0 0 0 0 0 
_3.ptx 72 : 489536 5894880 0 0 0 0 0 0 0 
_4.ptx 72 : 5120 95008 0 0 0 0 0 0 0 
_6.ptx 72 : 512 72 0 0 0 0 0 0 1 
_3.ptx 73 : 489536 3750432 0 0 0 0 0 0 0 
_4.ptx 73 : 5120 30720 0 0 0 0 0 0 0 
_6.ptx 73 : 500 3288 0 0 0 0 0 0 0 
_3.ptx 74 : 489536 5785088 0 0 0 0 0 0 0 
_4.ptx 74 : 5120 56704 0 0 0 0 0 0 0 
_6.ptx 74 : 500 6908 0 0 0 0 0 0 0 
_3.ptx 75 : 489536 2795072 0 0 0 0 0 0 0 
_4.ptx 75 : 5120 37504 0 0 0 0 0 0 0 
_6.ptx 75 : 500 3500 0 0 0 0 0 0 0 
_5.ptx 75 : 4096 24576 0 0 0 0 0 0 0 
_3.ptx 76 : 489536 2687488 0 0 0 0 0 0 0 
_4.ptx 76 : 5120 193984 128 0 0 0 0 0 0 
_6.ptx 76 : 500 7216 0 0 0 0 0 0 0 
_5.ptx 76 : 4096 24576 0 0 0 0 0 0 0 
_3.ptx 77 : 489536 4344224 0 0 0 0 0 0 0 
_4.ptx 77 : 5120 41728 0 0 0 0 0 0 0 
_6.ptx 77 : 500 3628 0 0 0 0 0 0 0 
_5.ptx 77 : 4096 76032 0 0 0 0 0 0 0 
_3.ptx 78 : 489536 3934016 0 0 0 0 0 0 0 
_4.ptx 78 : 5120 8640 0 0 0 0 0 0 0 
_6.ptx 78 : 500 1596 0 0 0 0 0 0 0 
_5.ptx 78 : 4096 24576 0 0 0 0 0 0 0 
_3.ptx 79 : 489536 4192864 0 0 0 0 0 0 0 
_4.ptx 79 : 3712 11136 0 0 0 0 0 0 0 
_6.ptx 79 : 500 1628 0 0 0 0 0 0 0 
_5.ptx 79 : 4096 45376 0 0 0 0 0 0 0 
_3.ptx 80 : 489536 3943840 0 0 0 0 0 0 0 
_4.ptx 80 : 3712 22624 0 0 0 0 0 0 0 
_5.ptx 80 : 4096 30336 0 0 0 0 0 0 0 
_3.ptx 81 : 489536 4294368 0 0 0 0 0 0 0 
_4.ptx 81 : 3712 30240 0 0 0 0 0 0 0 
_5.ptx 81 : 4096 12288 0 0 0 0 0 0 0 
_3.ptx 82 : 489536 3416960 0 0 0 0 0 0 0 
_4.ptx 82 : 3712 22752 0 0 0 0 0 0 0 
_6.ptx 82 : 500 5564 0 0 0 0 0 0 0 
_5.ptx 82 : 4096 32768 0 0 0 0 0 0 0 
_3.ptx 83 : 489536 4224480 0 0 0 0 0 0 0 
_4.ptx 83 : 3712 126432 0 0 0 0 0 0 0 
_6.ptx 83 : 500 92992 2048 0 0 16 16 0 0 
_5.ptx 83 : 4096 2720 0 0 0 0 0 0 0 
_3.ptx 84 : 489536 1512171 0 0 0 0 0 0 2006 
_4.ptx 84 : 3712 11136 0 0 0 0 0 0 0 
_6.ptx 84 : 500 3000 0 0 0 0 0 0 0 
_5.ptx 84 : 3680 23840 0 0 0 0 0 0 0 
_3.ptx 85 : 272356 1195674 0 0 0 0 0 0 0 
_4.ptx 85 : 3712 11136 0 0 0 0 0 0 0 
_6.ptx 85 : 500 4000 0 0 0 0 0 0 0 
_5.ptx 85 : 3680 58080 0 0 0 0 0 0 0 
_3.ptx 86 : 272356 1834995 0 0 0 0 0 0 0 
_4.ptx 86 : 3712 11136 0 0 0 0 0 0 0 
_6.ptx 86 : 500 0 0 0 0 0 0 0 0 
_5.ptx 86 : 3680 26912 0 0 0 0 0 0 0 
_3.ptx 87 : 272356 2370376 0 0 0 0 0 0 0 
_5.ptx 87 : 3680 503776 128 0 0 0 0 0 0 
_3.ptx 88 : 272356 0 0 0 0 0 0 0 0 
_6.ptx 88 : 500 1500 0 0 0 0 0 0 0 
_5.ptx 88 : 3680 26464 0 0 0 0 0 0 0 
