kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 65 : 21568 130144 0 0 0 0 0 0 0 
_3.ptx 66 : 21568 130560 0 0 0 0 0 0 0 
_3.ptx 67 : 21568 324192 0 0 0 0 0 0 0 
_3.ptx 68 : 21568 129792 0 0 0 0 0 0 0 
_3.ptx 69 : 21568 130560 0 0 0 0 0 0 0 
_4.ptx 70 : 2560 15360 0 0 0 0 0 0 0 
_3.ptx 70 : 21568 377728 0 0 0 0 0 0 0 
_4.ptx 71 : 2560 15360 0 0 0 0 0 0 0 
_3.ptx 71 : 21568 141152 0 0 0 0 0 0 0 
_4.ptx 72 : 2560 47424 0 0 0 0 0 0 0 
_3.ptx 72 : 21568 251520 0 0 0 0 0 0 0 
_4.ptx 73 : 2560 15360 0 0 0 0 0 0 0 
_3.ptx 73 : 21568 152736 0 0 0 0 0 0 0 
_4.ptx 74 : 2560 28480 0 0 0 0 0 0 0 
_3.ptx 74 : 21568 249408 0 0 0 0 0 0 0 
_4.ptx 75 : 2560 18784 0 0 0 0 0 0 0 
_3.ptx 75 : 21568 1158880 0 0 0 0 0 0 0 
_4.ptx 76 : 2560 227264 128 0 0 0 0 0 0 
_3.ptx 76 : 21568 1139872 0 0 0 0 0 0 0 
_4.ptx 77 : 2560 20864 0 0 0 0 0 0 0 
_3.ptx 77 : 21568 177376 0 0 0 0 0 0 0 
_4.ptx 78 : 2560 4288 0 0 0 0 0 0 0 
_3.ptx 78 : 21568 160128 0 0 0 0 0 0 0 
_4.ptx 79 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 79 : 21568 176960 0 0 0 0 0 0 0 
_4.ptx 80 : 1856 11360 0 0 0 0 0 0 0 
_3.ptx 80 : 21568 158336 0 0 0 0 0 0 0 
_4.ptx 81 : 1856 15168 0 0 0 0 0 0 0 
_3.ptx 81 : 21568 179712 0 0 0 0 0 0 0 
_4.ptx 82 : 1856 11456 0 0 0 0 0 0 0 
_3.ptx 82 : 21568 133408 0 0 0 0 0 0 0 
_4.ptx 83 : 1856 63072 0 0 0 0 0 0 0 
_3.ptx 83 : 21568 175776 0 0 0 0 0 0 0 
_4.ptx 84 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 84 : 21568 42208 0 0 0 0 0 0 162 
_4.ptx 85 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 85 : 14736 195056 0 0 0 0 0 0 0 
_4.ptx 86 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 86 : 14736 91184 0 0 0 0 0 0 0 
_3.ptx 87 : 14736 121312 0 0 0 0 0 0 0 
_3.ptx 88 : 14736 0 0 0 0 0 0 0 0 
_3.ptx 89 : 14736 109272 0 0 0 0 0 0 0 
_4.ptx 90 : 1856 335072 0 0 0 0 0 0 0 
_3.ptx 90 : 14736 173840 0 0 0 0 0 0 0 
_4.ptx 91 : 1856 14912 0 0 0 0 0 0 0 
_3.ptx 91 : 14736 109832 0 0 0 0 0 0 0 
_4.ptx 92 : 1856 298880 0 0 0 0 0 0 0 
_3.ptx 92 : 14736 166864 0 0 0 0 0 0 0 
_4.ptx 93 : 1856 14848 0 0 0 0 0 0 0 
_3.ptx 93 : 14736 109240 0 0 0 0 0 0 0 
_4.ptx 94 : 1856 26048 0 0 0 0 0 0 0 
_3.ptx 94 : 14736 163992 0 0 0 0 0 0 0 
_4.ptx 95 : 1856 27136 0 0 0 0 0 0 0 
_3.ptx 95 : 14736 199680 0 0 0 0 0 0 0 
_4.ptx 96 : 1856 28288 0 0 0 0 0 0 0 
_3.ptx 96 : 14736 109240 0 0 0 0 0 0 0 
_4.ptx 97 : 1856 20672 0 0 0 0 0 0 0 
_3.ptx 97 : 14736 206712 0 0 0 0 0 0 0 
_4.ptx 98 : 1856 26304 0 0 0 0 0 0 0 
_3.ptx 98 : 14736 163248 0 0 0 0 0 0 0 
_4.ptx 99 : 1856 20608 0 0 0 0 0 0 0 
_3.ptx 99 : 14736 193152 0 0 0 0 0 0 0 
_4.ptx 100 : 1856 13632 0 0 0 0 0 0 0 
_3.ptx 100 : 14736 262128 0 0 0 0 0 0 0 
_4.ptx 101 : 1856 25440 0 0 0 0 0 0 0 
_3.ptx 101 : 14736 163680 0 0 0 0 0 0 0 
_4.ptx 102 : 1856 20544 0 0 0 0 0 0 0 
_3.ptx 102 : 14736 107664 0 0 0 0 0 0 0 
_4.ptx 103 : 1856 0 0 0 0 0 0 0 0 
_3.ptx 103 : 14736 203096 0 0 0 0 0 0 0 
_4.ptx 104 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 104 : 14736 163960 0 0 0 0 0 0 0 
_4.ptx 105 : 1856 27040 0 0 0 0 0 0 0 
_3.ptx 105 : 14736 380712 0 0 0 0 0 0 0 
_4.ptx 106 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 106 : 14736 108392 0 0 0 0 0 0 0 
_4.ptx 107 : 1856 20608 0 0 0 0 0 0 0 
_3.ptx 107 : 14736 180176 0 0 0 0 0 0 0 
_4.ptx 108 : 1856 27616 0 0 0 0 0 0 0 
_3.ptx 108 : 14736 164008 0 0 0 0 0 0 0 
_4.ptx 109 : 1856 20608 0 0 0 0 0 0 0 
_3.ptx 109 : 14736 5924576 59136 0 0 1746 546 0 0 
_4.ptx 110 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 110 : 14736 106592 0 0 0 0 0 0 0 
_4.ptx 111 : 1856 34848 0 0 0 0 0 0 0 
_4.ptx 112 : 1856 20608 0 0 0 0 0 0 0 
_4.ptx 113 : 1856 5568 0 0 0 0 0 0 0 
_4.ptx 114 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 114 : 1898400 143538784 190848 0 0 261372 68100 0 0 
_4.ptx 115 : 1856 32064 0 0 0 0 0 0 0 
_3.ptx 115 : 1898400 333014752 237440 0 0 78166 68100 0 0 
_4.ptx 116 : 1856 20576 0 0 0 0 0 0 0 
_3.ptx 116 : 1898400 17224552 0 0 0 0 0 0 0 
_4.ptx 117 : 1856 14656 0 0 0 0 0 0 0 
_3.ptx 117 : 1898400 74124168 0 0 0 291900 68100 0 0 
_4.ptx 118 : 1856 31360 0 0 0 0 0 0 0 
_3.ptx 118 : 1898400 19416176 0 0 0 0 0 0 0 
_4.ptx 119 : 1856 21440 0 0 0 0 0 0 0 
_3.ptx 119 : 1898400 19425800 0 0 0 0 0 0 0 
_6.ptx 120 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 120 : 1856 14624 0 0 0 0 0 0 0 
_3.ptx 120 : 1898400 21577808 0 0 0 0 0 0 0 
_6.ptx 121 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 121 : 1856 14976 0 0 0 0 0 0 0 
_3.ptx 121 : 1898400 15932840 0 0 0 0 0 0 0 
_6.ptx 122 : 512 9472 0 0 0 0 0 0 0 
_4.ptx 122 : 1856 30400 0 0 0 0 0 0 0 
_3.ptx 122 : 1898400 11877928 0 0 0 0 0 0 0 
_6.ptx 123 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 123 : 1856 13664 0 0 0 0 0 0 0 
_6.ptx 124 : 512 5696 0 0 0 0 0 0 0 
_4.ptx 124 : 1856 25216 0 0 0 0 0 0 0 
_6.ptx 125 : 512 3776 0 0 0 0 0 0 0 
_4.ptx 125 : 1856 14400 0 0 0 0 0 0 0 
_6.ptx 126 : 512 1536 0 0 0 0 0 0 0 
_4.ptx 126 : 1856 16608 0 0 0 0 0 0 0 
_3.ptx 126 : 21568 132384 0 0 0 0 0 0 0 
_6.ptx 127 : 512 4224 0 0 0 0 0 0 0 
_6.ptx 128 : 512 72 0 0 0 0 0 0 1 
_6.ptx 129 : 500 3512 0 0 0 0 0 0 0 
_4.ptx 129 : 9280 77120 0 0 0 0 0 0 0 
_6.ptx 130 : 500 6652 0 0 0 0 0 0 0 
_4.ptx 130 : 9280 109664 0 0 0 0 0 0 0 
_6.ptx 131 : 500 3660 0 0 0 0 0 0 0 
_4.ptx 131 : 9280 80832 0 0 0 0 0 0 0 
_6.ptx 132 : 500 6556 0 0 0 0 0 0 0 
_4.ptx 132 : 9280 73280 0 0 0 0 0 0 0 
_6.ptx 133 : 500 3788 0 0 0 0 0 0 0 
_4.ptx 133 : 9280 84800 0 0 0 0 0 0 0 
_6.ptx 134 : 500 1500 0 0 0 0 0 0 0 
_4.ptx 134 : 9280 68576 0 0 0 0 0 0 0 
_6.ptx 135 : 500 5564 0 0 0 0 0 0 0 
_4.ptx 135 : 9280 79328 0 0 0 0 0 0 0 
_6.ptx 136 : 500 7104 0 0 0 0 0 0 0 
_6.ptx 137 : 500 1808 0 0 0 0 0 0 0 
_6.ptx 138 : 500 5532 0 0 0 0 0 0 0 
_4.ptx 139 : 46400 0 0 0 0 0 0 0 0 
_4.ptx 140 : 46400 540800 0 0 0 0 0 0 0 
_4.ptx 141 : 46400 336192 0 0 0 0 0 0 0 
_6.ptx 142 : 500 121108 2048 0 0 16 16 0 0 
_4.ptx 142 : 46400 404800 0 0 0 0 0 0 0 
_6.ptx 143 : 500 3000 0 0 0 0 0 0 0 
_4.ptx 143 : 46400 0 0 0 0 0 0 0 0 
_6.ptx 144 : 500 10000 0 0 0 0 0 0 0 
_4.ptx 144 : 46400 405120 0 0 0 0 0 0 0 
_6.ptx 145 : 500 2628 2048 0 0 16 16 0 0 
_4.ptx 145 : 46400 0 0 0 0 0 0 0 0 
_6.ptx 146 : 500 5532 0 0 0 0 0 0 0 
_4.ptx 146 : 46400 404608 0 0 0 0 0 0 0 
_6.ptx 147 : 500 5500 0 0 0 0 0 0 0 
_4.ptx 147 : 46400 0 0 0 0 0 0 0 0 
_6.ptx 148 : 500 5788 0 0 0 0 0 0 0 
_6.ptx 149 : 500 4064 0 0 0 0 0 0 0 
_4.ptx 149 : 46400 538208 0 0 0 0 0 0 0 
_6.ptx 150 : 500 0 0 0 0 0 0 0 0 
_4.ptx 150 : 46400 538528 0 0 0 0 0 0 0 
_4.ptx 151 : 46400 377120 0 0 0 0 0 0 0 
_4.ptx 152 : 46400 503936 0 0 0 0 0 0 0 
_6.ptx 153 : 512 3328 0 0 0 0 0 0 0 
_4.ptx 153 : 46400 541024 0 0 0 0 0 0 0 
_4.ptx 154 : 46400 971936 14720 0 0 3187 1450 0 0 
_4.ptx 155 : 46400 327744 0 0 0 0 0 0 0 
_4.ptx 160 : 46400 243968 185600 0 0 1450 1450 0 0 
_4.ptx 161 : 46400 491648 0 0 0 0 0 0 0 
_4.ptx 162 : 46400 539360 0 0 0 0 0 0 0 
_4.ptx 163 : 46400 409856 0 0 0 0 0 0 0 
_4.ptx 164 : 46400 266112 0 0 0 0 0 0 0 
_4.ptx 165 : 9280 106720 0 0 0 0 0 0 0 
_4.ptx 166 : 9280 98240 0 0 0 0 0 0 0 
_4.ptx 167 : 9280 108384 0 0 0 0 0 0 0 
_4.ptx 168 : 9280 104608 0 0 0 0 0 0 0 
_4.ptx 169 : 9280 81888 0 0 0 0 0 0 0 
_4.ptx 170 : 9280 55584 0 0 0 0 0 0 0 
_4.ptx 172 : 1856 20928 0 0 0 0 0 0 0 
_4.ptx 173 : 1856 15456 0 0 0 0 0 0 0 
_4.ptx 174 : 1856 0 0 0 0 0 0 0 0 
_4.ptx 177 : 2560 16352 0 0 0 0 0 0 0 
_5.ptx 226 : 4096 24576 0 0 0 0 0 0 0 
