kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 65 : 21568 130304 0 0 0 0 0 0 0 
_3.ptx 66 : 21568 130368 0 0 0 0 0 0 0 
_3.ptx 67 : 21568 324416 0 0 0 0 0 0 0 
_3.ptx 68 : 21568 130240 0 0 0 0 0 0 0 
_3.ptx 69 : 21568 130368 0 0 0 0 0 0 0 
_4.ptx 70 : 2560 15360 0 0 0 0 0 0 0 
_3.ptx 70 : 21568 378880 0 0 0 0 0 0 0 
_4.ptx 71 : 2560 15360 0 0 0 0 0 0 0 
_3.ptx 71 : 21568 141280 0 0 0 0 0 0 0 
_4.ptx 72 : 2560 47488 0 0 0 0 0 0 0 
_3.ptx 72 : 21568 251424 0 0 0 0 0 0 0 
_4.ptx 73 : 2560 15360 0 0 0 0 0 0 0 
_3.ptx 73 : 21568 153408 0 0 0 0 0 0 0 
_4.ptx 74 : 2560 28352 0 0 0 0 0 0 0 
_3.ptx 74 : 21568 248544 0 0 0 0 0 0 0 
_4.ptx 75 : 2560 18656 0 0 0 0 0 0 0 
_3.ptx 75 : 21568 1141568 0 0 0 0 0 0 0 
_4.ptx 76 : 2560 227264 128 0 0 0 0 0 0 
_3.ptx 76 : 21568 1123680 0 0 0 0 0 0 0 
_4.ptx 77 : 2560 20864 0 0 0 0 0 0 0 
_3.ptx 77 : 21568 178528 0 0 0 0 0 0 0 
_4.ptx 78 : 2560 4320 0 0 0 0 0 0 0 
_3.ptx 78 : 21568 161024 0 0 0 0 0 0 0 
_4.ptx 79 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 79 : 21568 177312 0 0 0 0 0 0 0 
_4.ptx 80 : 1856 11360 0 0 0 0 0 0 0 
_3.ptx 80 : 21568 159104 0 0 0 0 0 0 0 
_4.ptx 81 : 1856 15232 0 0 0 0 0 0 0 
_3.ptx 81 : 21568 179040 0 0 0 0 0 0 0 
_4.ptx 82 : 1856 11520 0 0 0 0 0 0 0 
_3.ptx 82 : 21568 132800 0 0 0 0 0 0 0 
_4.ptx 83 : 1856 63552 0 0 0 0 0 0 0 
_3.ptx 83 : 21568 175840 0 0 0 0 0 0 0 
_4.ptx 84 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 84 : 21568 42584 0 0 0 0 0 0 162 
_4.ptx 85 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 85 : 14736 168880 0 0 0 0 0 0 0 
_4.ptx 86 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 86 : 14736 91808 0 0 0 0 0 0 0 
_3.ptx 87 : 14736 121832 0 0 0 0 0 0 0 
_3.ptx 88 : 14736 0 0 0 0 0 0 0 0 
_3.ptx 89 : 14736 109392 0 0 0 0 0 0 0 
_4.ptx 90 : 1856 336224 0 0 0 0 0 0 0 
_3.ptx 90 : 14736 173432 0 0 0 0 0 0 0 
_4.ptx 91 : 1856 14880 0 0 0 0 0 0 0 
_3.ptx 91 : 14736 109520 0 0 0 0 0 0 0 
_4.ptx 92 : 1856 298880 0 0 0 0 0 0 0 
_3.ptx 92 : 14736 166824 0 0 0 0 0 0 0 
_4.ptx 93 : 1856 14848 0 0 0 0 0 0 0 
_3.ptx 93 : 14736 109064 0 0 0 0 0 0 0 
_4.ptx 94 : 1856 25536 0 0 0 0 0 0 0 
_3.ptx 94 : 14736 164032 0 0 0 0 0 0 0 
_4.ptx 95 : 1856 27200 0 0 0 0 0 0 0 
_3.ptx 95 : 14736 175728 0 0 0 0 0 0 0 
_4.ptx 96 : 1856 27968 0 0 0 0 0 0 0 
_3.ptx 96 : 14736 109368 0 0 0 0 0 0 0 
_4.ptx 97 : 1856 20544 0 0 0 0 0 0 0 
_3.ptx 97 : 14736 207424 0 0 0 0 0 0 0 
_4.ptx 98 : 1856 27680 0 0 0 0 0 0 0 
_3.ptx 98 : 14736 163480 0 0 0 0 0 0 0 
_4.ptx 99 : 1856 20576 0 0 0 0 0 0 0 
_3.ptx 99 : 14736 164176 0 0 0 0 0 0 0 
_4.ptx 100 : 1856 13600 0 0 0 0 0 0 0 
_3.ptx 100 : 14736 261544 0 0 0 0 0 0 0 
_4.ptx 101 : 1856 25760 0 0 0 0 0 0 0 
_3.ptx 101 : 14736 163496 0 0 0 0 0 0 0 
_4.ptx 102 : 1856 20576 0 0 0 0 0 0 0 
_3.ptx 102 : 14736 107800 0 0 0 0 0 0 0 
_4.ptx 103 : 1856 0 0 0 0 0 0 0 0 
_3.ptx 103 : 14736 201528 0 0 0 0 0 0 0 
_4.ptx 104 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 104 : 14736 163544 0 0 0 0 0 0 0 
_4.ptx 105 : 1856 27392 0 0 0 0 0 0 0 
_3.ptx 105 : 14736 372152 0 0 0 0 0 0 0 
_4.ptx 106 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 106 : 14736 109104 0 0 0 0 0 0 0 
_4.ptx 107 : 1856 20672 0 0 0 0 0 0 0 
_3.ptx 107 : 14736 174472 0 0 0 0 0 0 0 
_4.ptx 108 : 1856 28704 0 0 0 0 0 0 0 
_3.ptx 108 : 14736 164312 0 0 0 0 0 0 0 
_4.ptx 109 : 1856 20672 0 0 0 0 0 0 0 
_3.ptx 109 : 14736 5385624 59136 0 0 1746 546 0 0 
_4.ptx 110 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 110 : 14736 107864 0 0 0 0 0 0 0 
_4.ptx 111 : 1856 34112 0 0 0 0 0 0 0 
_4.ptx 112 : 1856 20672 0 0 0 0 0 0 0 
_4.ptx 113 : 1856 5568 0 0 0 0 0 0 0 
_4.ptx 114 : 1856 5568 0 0 0 0 0 0 0 
_3.ptx 114 : 1898400 135207784 190848 0 0 261372 68100 0 0 
_4.ptx 115 : 1856 34176 0 0 0 0 0 0 0 
_3.ptx 115 : 1898400 321033992 237440 0 0 78166 68100 0 0 
_4.ptx 116 : 1856 20576 0 0 0 0 0 0 0 
_3.ptx 116 : 1898400 17221032 0 0 0 0 0 0 0 
_4.ptx 117 : 1856 14624 0 0 0 0 0 0 0 
_3.ptx 117 : 1898400 67423464 0 0 0 291900 68100 0 0 
_4.ptx 118 : 1856 32320 0 0 0 0 0 0 0 
_3.ptx 118 : 1898400 19419624 0 0 0 0 0 0 0 
_4.ptx 119 : 1856 21344 0 0 0 0 0 0 0 
_3.ptx 119 : 1898400 19425248 0 0 0 0 0 0 0 
_6.ptx 120 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 120 : 1856 14560 0 0 0 0 0 0 0 
_3.ptx 120 : 1898400 21584384 0 0 0 0 0 0 0 
_6.ptx 121 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 121 : 1856 14944 0 0 0 0 0 0 0 
_3.ptx 121 : 1898400 15947792 0 0 0 0 0 0 0 
_6.ptx 122 : 512 9472 0 0 0 0 0 0 0 
