kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 65 : 659712 4017312 0 0 0 0 0 0 0 
_3.ptx 66 : 659712 4044448 0 0 0 0 0 0 0 
_3.ptx 67 : 659712 7802976 0 0 0 0 0 0 0 
_3.ptx 68 : 659712 3996384 0 0 0 0 0 0 0 
_3.ptx 69 : 659712 4022176 0 0 0 0 0 0 0 
_4.ptx 70 : 369664 2405632 0 0 0 0 0 0 0 
_3.ptx 70 : 659712 8087200 0 0 0 0 0 0 0 
_4.ptx 71 : 369664 2423104 0 0 0 0 0 0 0 
_3.ptx 71 : 659712 4040160 0 0 0 0 0 0 0 
_4.ptx 72 : 369664 6463648 0 0 0 0 0 0 0 
_3.ptx 72 : 659712 7346144 0 0 0 0 0 0 0 
_4.ptx 73 : 369664 2317376 0 0 0 0 0 0 0 
_3.ptx 73 : 659712 4117856 0 0 0 0 0 0 0 
_4.ptx 74 : 369664 4232832 0 0 0 0 0 0 0 
_3.ptx 74 : 659712 7323456 0 0 0 0 0 0 0 
_4.ptx 75 : 369664 2964192 0 0 0 0 0 0 0 
_3.ptx 75 : 659712 13640192 0 0 0 0 0 0 0 
_4.ptx 76 : 369664 16902144 128 0 0 0 0 0 0 
_3.ptx 76 : 659712 11198912 0 0 0 0 0 0 0 
_4.ptx 77 : 369664 3100320 0 0 0 0 0 0 0 
_3.ptx 77 : 659712 5360288 0 0 0 0 0 0 0 
_4.ptx 78 : 369664 5851 0 0 0 0 0 0 1 
_3.ptx 78 : 659712 4780576 0 0 0 0 0 0 0 
_4.ptx 79 : 368755 13177593 0 0 0 0 0 0 0 
_3.ptx 79 : 659712 5351424 0 0 0 0 0 0 0 
_4.ptx 80 : 368755 2432370 0 0 0 0 0 0 0 
_3.ptx 80 : 659712 4764672 0 0 0 0 0 0 0 
_4.ptx 81 : 368755 3096312 0 0 0 0 0 0 0 
_3.ptx 81 : 659712 5370848 0 0 0 0 0 0 0 
_4.ptx 82 : 368755 2450578 0 0 0 0 0 0 0 
_3.ptx 82 : 659712 4029056 0 0 0 0 0 0 0 
_4.ptx 83 : 368755 7335322 0 0 0 0 0 0 0 
_3.ptx 83 : 659712 5345408 0 0 0 0 0 0 0 
_4.ptx 84 : 368755 14495673 0 0 0 0 0 0 0 
_3.ptx 84 : 659712 58216 0 0 0 0 0 0 172 
_4.ptx 85 : 368755 12334361 0 0 0 0 0 0 0 
_3.ptx 85 : 650080 13020776 0 0 0 0 0 0 0 
_4.ptx 86 : 368755 12010169 0 0 0 0 0 0 0 
_3.ptx 86 : 650080 3958104 0 0 0 0 0 0 0 
_3.ptx 87 : 650080 5270832 0 0 0 0 0 0 0 
_3.ptx 88 : 650080 0 0 0 0 0 0 0 0 
_3.ptx 89 : 650080 4653648 0 0 0 0 0 0 0 
_4.ptx 90 : 368755 60415359 0 0 0 0 0 0 0 
_3.ptx 90 : 650080 7306376 0 0 0 0 0 0 0 
_4.ptx 91 : 368755 3060120 0 0 0 0 0 0 0 
_3.ptx 91 : 650080 4676320 0 0 0 0 0 0 0 
_4.ptx 92 : 368755 60685056 0 0 0 0 0 0 0 
_3.ptx 92 : 650080 7223896 0 0 0 0 0 0 0 
_4.ptx 93 : 368755 3029976 0 0 0 0 0 0 0 
_3.ptx 93 : 650080 4690160 0 0 0 0 0 0 0 
_4.ptx 94 : 368755 5881454 0 0 0 0 0 0 0 
_3.ptx 94 : 650080 6669856 0 0 0 0 0 0 0 
_4.ptx 95 : 368755 5892066 0 0 0 0 0 0 0 
_3.ptx 95 : 650080 12628032 0 0 0 0 0 0 0 
_4.ptx 96 : 368755 5613902 0 0 0 0 0 0 0 
_3.ptx 96 : 650080 4747184 0 0 0 0 0 0 0 
_4.ptx 97 : 368755 4120913 0 0 0 0 0 0 0 
_3.ptx 97 : 650080 7084072 0 0 0 0 0 0 0 
_4.ptx 98 : 368755 5566148 0 0 0 0 0 0 0 
_3.ptx 98 : 650080 7202200 0 0 0 0 0 0 0 
_4.ptx 99 : 368755 4117252 0 0 0 0 0 0 0 
_3.ptx 99 : 650080 11711424 0 0 0 0 0 0 0 
_4.ptx 100 : 368755 2731653 0 0 0 0 0 0 0 
_3.ptx 100 : 650080 7784608 0 0 0 0 0 0 0 
_4.ptx 101 : 368755 5281969 0 0 0 0 0 0 0 
_3.ptx 101 : 650080 7201048 0 0 0 0 0 0 0 
