kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_3.ptx 65 : 659712 4059648 0 0 0 0 0 0 0 
_3.ptx 66 : 659712 4094624 0 0 0 0 0 0 0 
_3.ptx 67 : 659712 7817440 0 0 0 0 0 0 0 
_3.ptx 68 : 659712 4029696 0 0 0 0 0 0 0 
_3.ptx 69 : 659712 4071040 0 0 0 0 0 0 0 
_4.ptx 70 : 369664 2670272 0 0 0 0 0 0 0 
_3.ptx 70 : 659712 8107872 0 0 0 0 0 0 0 
_4.ptx 71 : 369664 2682112 0 0 0 0 0 0 0 
_3.ptx 71 : 659712 4066976 0 0 0 0 0 0 0 
_4.ptx 72 : 369664 5938272 0 0 0 0 0 0 0 
_3.ptx 72 : 659712 7372320 0 0 0 0 0 0 0 
_4.ptx 73 : 369664 2462272 0 0 0 0 0 0 0 
_3.ptx 73 : 659712 4167424 0 0 0 0 0 0 0 
_4.ptx 74 : 369664 4327072 0 0 0 0 0 0 0 
_3.ptx 74 : 659712 7347904 0 0 0 0 0 0 0 
_4.ptx 75 : 369664 3143424 0 0 0 0 0 0 0 
_3.ptx 75 : 659712 7595712 0 0 0 0 0 0 0 
_4.ptx 76 : 369664 5591840 128 0 0 0 0 0 0 
_3.ptx 76 : 659712 6403584 0 0 0 0 0 0 0 
_4.ptx 77 : 369664 3146720 0 0 0 0 0 0 0 
_3.ptx 77 : 659712 5379360 0 0 0 0 0 0 0 
_4.ptx 78 : 369664 6267 0 0 0 0 0 0 1 
_3.ptx 78 : 659712 4812000 0 0 0 0 0 0 0 
_4.ptx 79 : 368755 2786745 0 0 0 0 0 0 0 
_3.ptx 79 : 659712 5372096 0 0 0 0 0 0 0 
_4.ptx 80 : 368755 2511858 0 0 0 0 0 0 0 
_3.ptx 80 : 659712 4806624 0 0 0 0 0 0 0 
_4.ptx 81 : 368755 3139672 0 0 0 0 0 0 0 
_3.ptx 81 : 659712 5412512 0 0 0 0 0 0 0 
_4.ptx 82 : 368755 2488786 0 0 0 0 0 0 0 
_3.ptx 82 : 659712 4084800 0 0 0 0 0 0 0 
_4.ptx 83 : 368755 8518266 0 0 0 0 0 0 0 
_3.ptx 83 : 659712 5381856 0 0 0 0 0 0 0 
_4.ptx 84 : 368755 2533497 0 0 0 0 0 0 0 
_3.ptx 84 : 659712 59224 0 0 0 0 0 0 172 
_4.ptx 85 : 368755 2294713 0 0 0 0 0 0 0 
_3.ptx 85 : 650080 7125784 0 0 0 0 0 0 0 
_4.ptx 86 : 368755 2242297 0 0 0 0 0 0 0 
_3.ptx 86 : 650080 3989928 0 0 0 0 0 0 0 
_3.ptx 87 : 650080 5300888 0 0 0 0 0 0 0 
_3.ptx 88 : 650080 0 0 0 0 0 0 0 0 
_3.ptx 89 : 650080 4698608 0 0 0 0 0 0 0 
_4.ptx 90 : 368755 63053919 0 0 0 0 0 0 0 
_3.ptx 90 : 650080 7350928 0 0 0 0 0 0 0 
_4.ptx 91 : 368755 3086456 0 0 0 0 0 0 0 
_3.ptx 91 : 650080 4749080 0 0 0 0 0 0 0 
_4.ptx 92 : 368755 63507296 0 0 0 0 0 0 0 
_3.ptx 92 : 650080 7274368 0 0 0 0 0 0 0 
_4.ptx 93 : 368755 3134584 0 0 0 0 0 0 0 
_3.ptx 93 : 650080 4772648 0 0 0 0 0 0 0 
_4.ptx 94 : 368755 7278702 0 0 0 0 0 0 0 
_3.ptx 94 : 650080 6742136 0 0 0 0 0 0 0 
_4.ptx 95 : 368755 7259938 0 0 0 0 0 0 0 
_3.ptx 95 : 650080 7165232 0 0 0 0 0 0 0 
_4.ptx 96 : 368755 6713262 0 0 0 0 0 0 0 
_3.ptx 96 : 650080 4817272 0 0 0 0 0 0 0 
_4.ptx 97 : 368755 4314641 0 0 0 0 0 0 0 
_3.ptx 97 : 650080 7185744 0 0 0 0 0 0 0 
_4.ptx 98 : 368755 6504324 0 0 0 0 0 0 0 
_3.ptx 98 : 650080 7227672 0 0 0 0 0 0 0 
_4.ptx 99 : 368755 4294436 0 0 0 0 0 0 0 
_3.ptx 99 : 650080 6768592 0 0 0 0 0 0 0 
_4.ptx 100 : 368755 3033573 0 0 0 0 0 0 0 
_3.ptx 100 : 650080 7833632 0 0 0 0 0 0 0 
_4.ptx 101 : 368755 6206769 0 0 0 0 0 0 0 
_3.ptx 101 : 650080 7234496 0 0 0 0 0 0 0 
_4.ptx 102 : 368755 4289450 0 0 0 0 0 0 0 
_3.ptx 102 : 650080 4721952 0 0 0 0 0 0 0 
_4.ptx 103 : 368755 0 0 0 0 0 0 0 0 
_3.ptx 103 : 650080 6967288 0 0 0 0 0 0 0 
_4.ptx 104 : 368755 2852537 0 0 0 0 0 0 0 
_3.ptx 104 : 650080 7222888 0 0 0 0 0 0 0 
_4.ptx 105 : 368755 6034468 0 0 0 0 0 0 0 
_3.ptx 105 : 650080 9012680 0 0 0 0 0 0 0 
_4.ptx 106 : 368755 2611545 0 0 0 0 0 0 0 
_3.ptx 106 : 650080 4713672 0 0 0 0 0 0 0 
_4.ptx 107 : 368755 4242417 0 0 0 0 0 0 0 
_3.ptx 107 : 650080 6815608 0 0 0 0 0 0 0 
_4.ptx 108 : 368755 5871825 0 0 0 0 0 0 0 
_3.ptx 108 : 650080 7222664 0 0 0 0 0 0 0 
_4.ptx 109 : 368755 4253937 0 0 0 0 0 0 0 
_3.ptx 109 : 650080 216531424 2600320 0 0 81260 20444 0 0 
_4.ptx 110 : 368755 2517785 0 0 0 0 0 0 0 
_3.ptx 110 : 650080 4681320 0 0 0 0 0 0 0 
_4.ptx 111 : 368755 5793751 0 0 0 0 0 0 0 
_4.ptx 112 : 368755 4300017 0 0 0 0 0 0 0 
_4.ptx 113 : 368755 2662137 0 0 0 0 0 0 0 
_4.ptx 114 : 368755 2514361 0 0 0 0 0 0 0 
_3.ptx 114 : 1823130144 209078596600 203164160 0 0 227891268 57419988 0 0 
_4.ptx 115 : 368755 5546761 0 0 0 0 0 0 0 
_3.ptx 115 : 1823130144 552722682720 2183865216 0 0 57419988 57419988 0 0 
_4.ptx 116 : 368755 4289700 0 0 0 0 0 0 0 
_3.ptx 116 : 1823130144 16504624720 0 0 0 0 0 0 0 
_4.ptx 117 : 368755 3011448 0 0 0 0 0 0 0 
_3.ptx 117 : 1823130144 57103801336 0 0 0 227891268 57419988 0 0 
_4.ptx 118 : 368755 5284273 0 0 0 0 0 0 0 
_3.ptx 118 : 1823130144 18407661424 0 0 0 0 0 0 0 
_4.ptx 119 : 368755 4323268 0 0 0 0 0 0 0 
_3.ptx 119 : 1823130144 18401087656 0 0 0 0 0 0 0 
_4.ptx 120 : 368755 3005413 0 0 0 0 0 0 0 
_3.ptx 120 : 1823130144 20370721752 0 0 0 0 0 0 0 
_6.ptx 120 : 672768 4468064 0 0 0 0 0 0 0 
_4.ptx 121 : 368755 3060325 0 0 0 0 0 0 0 
_3.ptx 121 : 1823130144 14848452840 0 0 0 0 0 0 0 
_6.ptx 121 : 672768 4509600 0 0 0 0 0 0 0 
_4.ptx 122 : 368755 5206801 0 0 0 0 0 0 0 
_3.ptx 122 : 1823130144 11121851448 0 0 0 0 0 0 0 
_6.ptx 122 : 672768 11958272 0 0 0 0 0 0 0 
_4.ptx 123 : 368755 3013605 0 0 0 0 0 0 0 
_6.ptx 123 : 672768 4410816 0 0 0 0 0 0 0 
_4.ptx 124 : 368755 4802558 0 0 0 0 0 0 0 
_6.ptx 124 : 672768 7863296 0 0 0 0 0 0 0 
_4.ptx 125 : 368755 2791058 0 0 0 0 0 0 0 
_6.ptx 125 : 672768 5531008 0 0 0 0 0 0 0 
_4.ptx 126 : 368755 3109317 0 0 0 0 0 0 0 
_3.ptx 126 : 659712 4122880 0 0 0 0 0 0 0 
_6.ptx 126 : 672768 2215008 0 0 0 0 0 0 0 
_6.ptx 127 : 672768 5737056 0 0 0 0 0 0 0 
_6.ptx 128 : 672768 7424 0 0 0 0 0 0 0 
_4.ptx 129 : 1552113 12205328 0 0 0 0 0 0 0 
_6.ptx 129 : 671712 4955008 0 0 0 0 0 0 0 
_4.ptx 130 : 1552113 17934561 0 0 0 0 0 0 0 
_6.ptx 130 : 671712 9396704 0 0 0 0 0 0 0 
_4.ptx 131 : 1552113 12674543 0 0 0 0 0 0 0 
_6.ptx 131 : 671712 5086752 0 0 0 0 0 0 0 
_4.ptx 132 : 1552113 11509949 0 0 0 0 0 0 0 
_6.ptx 132 : 671712 9660352 0 0 0 0 0 0 0 
_4.ptx 133 : 1552113 13604840 0 0 0 0 0 0 0 
_6.ptx 133 : 671712 5174848 0 0 0 0 0 0 0 
_4.ptx 134 : 1552113 10854681 0 0 0 0 0 0 0 
_6.ptx 134 : 671712 2400864 0 0 0 0 0 0 0 
_4.ptx 135 : 1552113 12469264 0 0 0 0 0 0 0 
_6.ptx 135 : 671712 7657632 0 0 0 0 0 0 0 
_6.ptx 136 : 671712 9340640 0 0 0 0 0 0 0 
